"x" "y" "z"
"402" 41.5 88.5 -8.36849212646484e-05
"403" 42.5 88.5 -8.36849212646484e-05
"404" 43.5 88.5 -8.36849212646484e-05
"405" 44.5 88.5 -8.36849212646484e-05
"406" 45.5 88.5 -8.36849212646484e-05
"407" 46.5 88.5 -8.36849212646484e-05
"408" 47.5 88.5 -8.36849212646484e-05
"409" 48.5 88.5 -8.36849212646484e-05
"410" 49.5 88.5 -8.36849212646484e-05
"411" 50.5 88.5 -8.36849212646484e-05
"412" 51.5 88.5 -0.000166893005371094
"413" 52.5 88.5 -0.000166893005371094
"414" 53.5 88.5 -0.000166893005371094
"415" 54.5 88.5 -0.000166893005371094
"416" 55.5 88.5 -0.000166893005371094
"417" 56.5 88.5 -0.000166893005371094
"418" 57.5 88.5 -0.000166893005371094
"419" 58.5 88.5 -0.000166893005371094
"420" 59.5 88.5 -0.000166893005371094
"421" 60.5 88.5 -0.000166893005371094
"422" 61.5 88.5 -0.000166893005371094
"423" 62.5 88.5 -0.000166893005371094
"424" 63.5 88.5 -0.000166893005371094
"425" 64.5 88.5 -0.000166893005371094
"426" 65.5 88.5 -0.000166893005371094
"427" 66.5 88.5 -0.000166893005371094
"428" 67.5 88.5 -0.000166893005371094
"429" 68.5 88.5 -8.36849212646484e-05
"430" 69.5 88.5 -8.36849212646484e-05
"431" 70.5 88.5 -8.36849212646484e-05
"432" 71.5 88.5 -8.36849212646484e-05
"433" 72.5 88.5 -8.36849212646484e-05
"434" 73.5 88.5 -8.36849212646484e-05
"435" 74.5 88.5 -8.36849212646484e-05
"436" 75.5 88.5 -8.36849212646484e-05
"437" 76.5 88.5 -8.36849212646484e-05
"438" 77.5 88.5 -2.38418579101562e-07
"439" 78.5 88.5 -2.38418579101562e-07
"440" 79.5 88.5 -2.38418579101562e-07
"441" 80.5 88.5 -2.38418579101562e-07
"442" 81.5 88.5 -2.38418579101562e-07
"443" 82.5 88.5 -2.38418579101562e-07
"444" 83.5 88.5 -2.38418579101562e-07
"445" 84.5 88.5 -2.38418579101562e-07
"446" 85.5 88.5 -2.38418579101562e-07
"447" 86.5 88.5 -2.38418579101562e-07
"448" 87.5 88.5 -2.38418579101562e-07
"449" 88.5 88.5 -2.38418579101562e-07
"450" 89.5 88.5 -2.38418579101562e-07
"451" 90.5 88.5 -2.38418579101562e-07
"452" 91.5 88.5 -2.38418579101562e-07
"453" 92.5 88.5 -2.38418579101562e-07
"454" 93.5 88.5 -2.38418579101562e-07
"455" 94.5 88.5 -2.38418579101562e-07
"456" 95.5 88.5 -2.38418579101562e-07
"457" 96.5 88.5 -2.38418579101562e-07
"458" 97.5 88.5 -2.38418579101562e-07
"459" 98.5 88.5 -2.38418579101562e-07
"460" 99.5 88.5 -2.38418579101562e-07
"461" 100.5 88.5 -2.38418579101562e-07
"462" 101.5 88.5 -2.38418579101562e-07
"463" 102.5 88.5 -2.38418579101562e-07
"464" 103.5 88.5 -2.38418579101562e-07
"465" 104.5 88.5 -2.38418579101562e-07
"466" 105.5 88.5 -2.38418579101562e-07
"467" 106.5 88.5 -2.38418579101562e-07
"468" 107.5 88.5 -2.38418579101562e-07
"469" 108.5 88.5 -2.38418579101562e-07
"470" 109.5 88.5 -2.38418579101562e-07
"471" 110.5 88.5 -2.38418579101562e-07
"472" 111.5 88.5 -2.38418579101562e-07
"473" 112.5 88.5 -2.38418579101562e-07
"474" 113.5 88.5 -2.38418579101562e-07
"475" 114.5 88.5 -2.38418579101562e-07
"476" 115.5 88.5 -2.38418579101562e-07
"477" 116.5 88.5 -2.38418579101562e-07
"478" 117.5 88.5 -2.38418579101562e-07
"479" 118.5 88.5 -2.38418579101562e-07
"480" 119.5 88.5 -2.38418579101562e-07
"481" 120.5 88.5 -2.38418579101562e-07
"482" 121.5 88.5 -2.38418579101562e-07
"483" 122.5 88.5 -2.38418579101562e-07
"484" 123.5 88.5 -2.38418579101562e-07
"485" 124.5 88.5 -2.38418579101562e-07
